"Name","Live Bytes","Live Objects"
"sun.misc.Signal","48 B (0%)","2 (0%)"
"java.nio.ByteOrder","32 B (0%)","2 (0%)"
"javax.management.openmbean.TabularType","96 B (0%)","2 (0%)"
"sun.rmi.server.WeakClassHashMap$ValueCell","32 B (0%)","2 (0%)"
"java.lang.String[][]","144 B (0%)","2 (0%)"
"java.rmi.dgc.VMID","48 B (0%)","2 (0%)"
"ch.qos.logback.core.util.CachingDateFormatter","64 B (0%)","2 (0%)"
"float[]","80 B (0%)","2 (0%)"
"java.lang.Enum[]","32 B (0%)","2 (0%)"
"org.graalvm.visualvm.lib.jfluid.global.TransactionalSupport","80 B (0%)","2 (0%)"
"ch.qos.logback.core.joran.util.beans.BeanDescription","64 B (0%)","2 (0%)"
"java.util.regex.Pattern$Start","48 B (0%)","2 (0%)"
"java.util.logging.Logger$LoggerBundle","48 B (0%)","2 (0%)"
"java.net.StandardProtocolFamily","48 B (0%)","2 (0%)"
"com.tvd12.ezyfoxserver.setting.EzySimpleEventControllerSetting","48 B (0%)","2 (0%)"
"com.sun.jmx.mbeanserver.WeakIdentityHashMap","48 B (0%)","2 (0%)"
"com.tvd12.properties.file.mapping.MappingLevel","48 B (0%)","2 (0%)"
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry","48 B (0%)","2 (0%)"
"java.lang.Shutdown$Lock","32 B (0%)","2 (0%)"
"com.tvd12.ezyfoxserver.constant.EzyConnectionType","48 B (0%)","2 (0%)"
"java.lang.reflect.ReflectPermission","48 B (0%)","2 (0%)"
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry[]","40 B (0%)","2 (0%)"
"ch.qos.logback.core.Appender[]","40 B (0%)","2 (0%)"
"java.lang.VirtualMachineError","64 B (0%)","2 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping","64 B (0%)","2 (0%)"
"java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl","64 B (0%)","2 (0%)"
"com.sun.proxy.$Proxy5","32 B (0%)","2 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$TabularMapping","80 B (0%)","2 (0%)"
"java.io.BufferedInputStream","80 B (0%)","2 (0%)"
"sun.rmi.server.UnicastServerRef2","64 B (0%)","2 (0%)"
"java.lang.ref.ReferenceQueue$Null","64 B (0%)","2 (0%)"
"com.tvd12.ezyfoxserver.statistics.EzyNetworkBytesFrameHour","96 B (0%)","2 (0%)"
"java.util.LinkedHashMap$LinkedEntrySet","32 B (0%)","2 (0%)"
"java.net.SocketPermission","112 B (0%)","2 (0%)"
"java.util.Locale$Category","80 B (0%)","2 (0%)"
"sun.nio.ch.FileDispatcherImpl","32 B (0%)","2 (0%)"
"com.sun.org.apache.xerces.internal.impl.dv.dtd.ENTITYDatatypeValidator","32 B (0%)","2 (0%)"
"sun.security.jca.ProviderList$3","48 B (0%)","2 (0%)"
"java.util.LinkedHashSet","32 B (0%)","2 (0%)"
"java.lang.ClassNotFoundException","80 B (0%)","2 (0%)"
"sun.rmi.transport.tcp.TCPTransport","64 B (0%)","2 (0%)"
"java.util.regex.Pattern$Ques","48 B (0%)","2 (0%)"
"java.util.GregorianCalendar","224 B (0%)","2 (0%)"
"java.io.File$PathStatus","48 B (0%)","2 (0%)"
"com.tvd12.ezyfoxserver.setting.EzySimpleEventControllersSetting","32 B (0%)","2 (0%)"
"java.lang.ClassValue$Entry[]","168 B (0%)","2 (0%)"
"java.util.Random","64 B (0%)","2 (0%)"
"ch.qos.logback.core.subst.Node$Type","48 B (0%)","2 (0%)"
"sun.management.GarbageCollectorImpl","96 B (0%)","2 (0%)"
"sun.rmi.server.UnicastRef2","32 B (0%)","2 (0%)"
"java.text.SimpleDateFormat","128 B (0%)","2 (0%)"
"java.io.BufferedWriter","80 B (0%)","2 (0%)"
"ch.qos.logback.core.joran.spi.ConsoleTarget","64 B (0%)","2 (0%)"
"java.nio.charset.CoderResult","48 B (0%)","2 (0%)"
"java.io.ExpiringCache$1","128 B (0%)","2 (0%)"
"java.lang.invoke.LambdaFormEditor$Transform","112 B (0%)","2 (0%)"
"com.tvd12.ezyfoxserver.response.EzyDisconnectResponse","48 B (0%)","2 (0%)"
"com.tvd12.ezyfox.constant.EzyLogLevel[]","80 B (0%)","2 (0%)"
"sun.security.jca.ProviderList","48 B (0%)","2 (0%)"
"sun.nio.ch.SocketDispatcher","32 B (0%)","2 (0%)"
"java.lang.invoke.MethodType[]","112 B (0%)","2 (0%)"
"java.text.DateFormat$Field[]","200 B (0%)","2 (0%)"
"com.google.gson.internal.bind.TypeAdapters$34","48 B (0%)","2 (0%)"
"java.util.stream.StreamOpFlag$Type[]","80 B (0%)","2 (0%)"
"javax.management.remote.rmi.NoCallStackClassLoader","176 B (0%)","2 (0%)"
"com.tvd12.ezyfox.exception.EzyMaxRequestSizeException","64 B (0%)","2 (0%)"
"javassist.bytecode.InvokeDynamicInfo","48 B (0%)","2 (0%)"
"java.util.concurrent.ConcurrentHashMap$CounterCell","560 B (0%)","2 (0%)"
"com.tvd12.ezyfoxserver.constant.EzyEventType[]","112 B (0%)","2 (0%)"
"com.tvd12.ezyfoxserver.response.EzyDisconnectParams","48 B (0%)","2 (0%)"
"java.util.zip.Deflater","112 B (0%)","2 (0%)"
"java.util.concurrent.Executors$RunnableAdapter","48 B (0%)","2 (0%)"
"java.lang.ClassValue$Identity","32 B (0%)","2 (0%)"
"ch.qos.logback.classic.joran.action.LevelAction","64 B (0%)","2 (0%)"
"java.io.FileInputStream","64 B (0%)","2 (0%)"
"java.io.ExpiringCache","80 B (0%)","2 (0%)"
"org.QTS.app.response.HelloResponse$EzyObjectWriter$EzyAutoImpl$34","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.socket.EzySocketDisconnectionHandlingLoopHandler","32 B (0%)","1 (0%)"
"sun.misc.Launcher$Factory","16 B (0%)","1 (0%)"
"sun.nio.ch.FileChannelImpl$Unmapper","40 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleCollectionConverter$$Lambda$373.1995627650","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.command.impl.EzyPluginHandleExceptionImpl","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.util.EzyCollectionFactory$$Lambda$118.656479172","16 B (0%)","1 (0%)"
"org.QTS.common.models.AllPlayersInfo$EzyObjectUnwrapper$EzyAutoImpl$34","16 B (0%)","1 (0%)"
"java.lang.OutOfMemoryError[]","32 B (0%)","1 (0%)"
"org.QTS.app.response.HelloResponse$EzyObjectWriter$EzyAutoImpl$45","16 B (0%)","1 (0%)"
"com.google.gson.internal.Excluder","40 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$23.315860201","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleValueConverter$$Lambda$157.350059321","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.EzySimpleServer","56 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySingletonCollectionConverter","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$47.937773018","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$325.130066695","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$299.859471600","16 B (0%)","1 (0%)"
"java.lang.Character[]","528 B (0%)","1 (0%)"
"java.util.Currency","24 B (0%)","1 (0%)"
"ch.qos.logback.classic.LoggerContext","104 B (0%)","1 (0%)"
"ch.qos.logback.core.subst.Token$Type[]","40 B (0%)","1 (0%)"
"java.lang.ClassCastException","32 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$307.905562440","16 B (0%)","1 (0%)"
"sun.util.logging.PlatformLogger$Level[]","56 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.controller.EzyRequestPluginController","16 B (0%)","1 (0%)"
"org.QTS.app.response.HelloResponse$EzyObjectWriter$EzyAutoImpl$56","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.util.EzyCollectionFactory$$Lambda$127.1397381784","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$344.1352319408","16 B (0%)","1 (0%)"
"java.lang.ref.Reference$Lock","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.setting.EzySimplePluginsSetting","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$279.1976139971","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$359.201142871","16 B (0%)","1 (0%)"
"org.QTS.common.models.AllPlayersInfo$EzyObjectUnwrapper$EzyAutoImpl$19","16 B (0%)","1 (0%)"
"ch.qos.logback.classic.joran.action.ConfigurationAction","32 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.MBeanIntrospector$MBeanInfoMap","48 B (0%)","1 (0%)"
"ch.qos.logback.classic.util.LogbackMDCAdapter","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$17.1975546571","16 B (0%)","1 (0%)"
"org.QTS.app.response.HelloResponse$EzyObjectWriter$EzyAutoImpl$67","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.constant.EzyLogLevel$$Lambda$406.798305431","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$319.1354600048","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.constant.EzyCommand[]","80 B (0%)","1 (0%)"
"org.QTS.app.controller.GetRoomList","16 B (0%)","1 (0%)"
"org.QTS.common.models.RoomInfoModel$EzyObjectWriter$EzyAutoImpl$3","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.reflect.EzyClass$$Lambda$109.1670546046","16 B (0%)","1 (0%)"
"java.lang.reflect.ReflectAccess","16 B (0%)","1 (0%)"
"org.QTS.common.models.AllPlayersInfo$EzyObjectUnwrapper$EzyAutoImpl$6","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleCollectionConverter$$Lambda$370.1358897483","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$318.1194553154","16 B (0%)","1 (0%)"
"org.QTS.app.response.HelloResponse$EzyObjectWriter$EzyAutoImpl$78","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.reader.EzyWrapperLongArrayReader","16 B (0%)","1 (0%)"
"ch.qos.logback.core.joran.spi.CAI_WithLocatorSupport","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$306.296259977","16 B (0%)","1 (0%)"
"sun.rmi.runtime.Log$LoggerLogFactory","16 B (0%)","1 (0%)"
"org.QTS.app.request.GoRequest$EzyObjectReader$EzyAutoImpl$158","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$136.1293226111","16 B (0%)","1 (0%)"
"java.lang.ProcessEnvironment","48 B (0%)","1 (0%)"
"java.lang.CharacterDataLatin1","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleValueConverter$$Lambda$171.459718907","16 B (0%)","1 (0%)"
"org.QTS.Qworld.ClientHandshakeController","16 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$State[]","40 B (0%)","1 (0%)"
"sun.nio.ch.FileChannelImpl$1","16 B (0%)","1 (0%)"
"org.QTS.app.response.HelloResponse$EzyObjectWriter$EzyAutoImpl$89","16 B (0%)","1 (0%)"
"FriendRequestController$GetOnlineUser$Handler$AutoImpl$6","24 B (0%)","1 (0%)"
"java.util.Locale$Cache","24 B (0%)","1 (0%)"
"java.lang.invoke.MethodHandleImpl$2","16 B (0%)","1 (0%)"
"java.lang.invoke.MethodHandleImpl$4","24 B (0%)","1 (0%)"
"java.lang.invoke.MethodHandleImpl$3","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.reader.EzyWrapperFloatArrayReader","16 B (0%)","1 (0%)"
"ch.qos.logback.classic.joran.action.ReceiverAction","32 B (0%)","1 (0%)"
"com.sun.jmx.interceptor.DefaultMBeanServerInterceptor$ResourceContext$1","16 B (0%)","1 (0%)"
"CommonRequestController$SyncPlayerPosition$Handler$AutoImpl$16","24 B (0%)","1 (0%)"
"java.security.AllPermission","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$337.441701190","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$106.857068247","16 B (0%)","1 (0%)"
"java.util.ResourceBundle$Control$CandidateListCache","24 B (0%)","1 (0%)"
"FriendRequestController$Rpc_Friend$Handler$AutoImpl$19","24 B (0%)","1 (0%)"
"FriendRequestController$Rpc_Friend$Handler$AutoImpl$17","24 B (0%)","1 (0%)"
"org.QTS.common.models.TransformModel$EzyObjectReader$EzyAutoImpl$159","16 B (0%)","1 (0%)"
"sun.management.jmxremote.LocalRMIServerSocketFactory","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleDeserializer$$Lambda$60.2143437117","16 B (0%)","1 (0%)"
"com.tvd12.reflections.vfs.Vfs$DefaultUrlTypes[]","48 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.handler.EzySimpleRequestFactory$$Lambda$240.228438682","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.reader.EzyWrapperDoubleArrayReader","16 B (0%)","1 (0%)"
"com.google.gson.ReflectionAccessFilter$FilterResult[]","32 B (0%)","1 (0%)"
"org.QTS.common.models.TransformModel$EzyObjectReader$EzyAutoImpl$144","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleDeserializer$$Lambda$72.952486988","16 B (0%)","1 (0%)"
"org.QTS.common.models.AllPlayersInfo$EzyObjectReader$EzyAutoImpl$19","16 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.impl.dv.dtd.NOTATIONDatatypeValidator","16 B (0%)","1 (0%)"
"java.lang.Float","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.EzySimpleMessageToBytes","16 B (0%)","1 (0%)"
"java.text.DontCareFieldPosition","32 B (0%)","1 (0%)"
"org.QTS.app.request.GoRequest$EzyObjectWriter$EzyAutoImpl$63","16 B (0%)","1 (0%)"
"org.QTS.common.models.ChanelInfoModel$EzyObjectWriter$EzyAutoImpl$26","16 B (0%)","1 (0%)"
"sun.nio.ch.FileChannelImpl","64 B (0%)","1 (0%)"
"org.QTS.app.request.GoRequest$EzyObjectReader$EzyAutoImpl$113","16 B (0%)","1 (0%)"
"FriendRequestController$Rpc_Friend$Handler$AutoImpl$35","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.bean.supplier.EzyQueueSupplier","16 B (0%)","1 (0%)"
"org.QTS.app.response.GoResponse$EzyObjectUnwrapper$EzyAutoImpl$31","16 B (0%)","1 (0%)"
"org.QTS.common.models.RoomInfoModel$EzyObjectReader$EzyAutoImpl$3","16 B (0%)","1 (0%)"
"FriendRequestController$Rpc_Friend$Handler$AutoImpl$30","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$19.726950788","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.setting.EzySimpleWebSocketSetting","48 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.socket.EzySocketExtensionRequestHandler","24 B (0%)","1 (0%)"
"org.QTS.app.request.GoRequest$EzyObjectWriter$EzyAutoImpl$74","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackObjectToMessage","16 B (0%)","1 (0%)"
"org.QTS.common.models.AllPlayersInfo$EzyObjectReader$EzyAutoImpl$34","16 B (0%)","1 (0%)"
"org.QTS.common.models.ChanelInfoModel$EzyObjectWriter$EzyAutoImpl$15","16 B (0%)","1 (0%)"
"org.QTS.app.response.GoResponse$EzyObjectUnwrapper$EzyAutoImpl$16","16 B (0%)","1 (0%)"
"FriendRequestController$Rpc_Friend$Handler$AutoImpl$49","24 B (0%)","1 (0%)"
"org.QTS.app.request.GoRequest$EzyObjectReader$EzyAutoImpl$128","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.support.reflect.EzyRequestControllerProxy$$Lambda$222.665698670","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.util.EzyCollectionFactory$$Lambda$117.2017085051","16 B (0%)","1 (0%)"
"org.QTS.common.models.TransformModel$EzyObjectReader$EzyAutoImpl$129","16 B (0%)","1 (0%)"
"javax.management.remote.rmi.RMIJRMPServerImpl","56 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$33.1353170030","16 B (0%)","1 (0%)"
"org.QTS.app.request.GoRequest$EzyObjectWriter$EzyAutoImpl$85","16 B (0%)","1 (0%)"
"org.QTS.common.models.NetworkCharacterModel$EzyObjectWriter$EzyAutoImpl$99","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleValueConverter$$Lambda$189.1237912220","16 B (0%)","1 (0%)"
"org.QTS.common.models.ChanelInfoModel$EzyObjectWriter$EzyAutoImpl$48","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$22.1439337960","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$312.1900283566","16 B (0%)","1 (0%)"
"org.QTS.common.models.TransformModel$EzyObjectReader$EzyAutoImpl$114","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.config.EzySimpleConfig","32 B (0%)","1 (0%)"
"java.util.concurrent.ThreadLocalRandom","32 B (0%)","1 (0%)"
"FriendRequestController$Rpc_Friend$Handler$AutoImpl$52","24 B (0%)","1 (0%)"
"org.QTS.common.models.AllPlayersInfo$EzyObjectReader$EzyAutoImpl$49","16 B (0%)","1 (0%)"
"EzyUserAppExit$UserAppExit$Handler$AutoImpl$3","24 B (0%)","1 (0%)"
"PluginRequestController$getUserInApp$Handler$AutoImpl$2","24 B (0%)","1 (0%)"
"org.QTS.app.request.GoRequest$EzyObjectWriter$EzyAutoImpl$96","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.reflect.EzyClass$$Lambda$92.1687662712","16 B (0%)","1 (0%)"
"org.QTS.common.models.ChanelInfoModel$EzyObjectWriter$EzyAutoImpl$37","16 B (0%)","1 (0%)"
"ItemExchangeRequestController$ExchangeRequestHandle$Handler$AutoImpl$8","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$300.125416916","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.reader.EzyShortReader","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.util.EzyMapFactory$$Lambda$116.1387380406","16 B (0%)","1 (0%)"
"java.lang.invoke.MemberName$Factory","16 B (0%)","1 (0%)"
"sun.rmi.runtime.RuntimeUtil","16 B (0%)","1 (0%)"
"org.QTS.app.response.GoResponse$EzyObjectUnwrapper$EzyAutoImpl$46","16 B (0%)","1 (0%)"
"org.QTS.app.request.GoRequest$EzyObjectReader$EzyAutoImpl$143","16 B (0%)","1 (0%)"
"org.graalvm.visualvm.lib.jfluid.server.ProfilerServer$ShutdownWaitThread","376 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleValueConverter$$Lambda$150.1651162064","16 B (0%)","1 (0%)"
"sun.util.resources.TimeZoneNames","48 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$314.1238824506","16 B (0%)","1 (0%)"
"FriendRequestController$Rpc_Friend$Handler$AutoImpl$62","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.reader.EzyIntegerReader","16 B (0%)","1 (0%)"
"sun.nio.ch.Net$1","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$342.2034357697","16 B (0%)","1 (0%)"
"ch.qos.logback.core.spi.FilterAttachableImpl","16 B (0%)","1 (0%)"
"org.QTS.common.models.AllPlayersInfo$EzyObjectReader$EzyAutoImpl$64","16 B (0%)","1 (0%)"
"FriendRequestController$Rpc_Friend$Handler$AutoImpl$81","24 B (0%)","1 (0%)"
"sun.rmi.transport.DGCImpl$LeaseInfo","32 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.socket.EzySocketUserRemovalHandlingLoopHandler","32 B (0%)","1 (0%)"
"org.QTS.app.response.GoResponse$EzyObjectUnwrapper$EzyAutoImpl$76","16 B (0%)","1 (0%)"
"javax.xml.parsers.SecuritySupport","16 B (0%)","1 (0%)"
"FriendRequestController$Rpc_Friend$Handler$AutoImpl$71","24 B (0%)","1 (0%)"
"org.QTS.app.request.GoRequest$EzyObjectWriter$EzyAutoImpl$30","16 B (0%)","1 (0%)"
"org.graalvm.visualvm.lib.jfluid.server.ProfilerInterface$1","16 B (0%)","1 (0%)"
"org.QTS.app.handler.udpPlayerSpawnHandler$EzyPrototypeSupplier$EzyAutoImpl$3","16 B (0%)","1 (0%)"
"org.QTS.common.models.AllPlayersInfo$EzyObjectReader$EzyAutoImpl$79","16 B (0%)","1 (0%)"
"org.QTS.common.models.ChanelInfoModel$EzyObjectWriter$EzyAutoImpl$59","16 B (0%)","1 (0%)"
"org.QTS.app.handler.udpPlayerSpawnHandler$EzyPrototypeSupplier$EzyAutoImpl$7","16 B (0%)","1 (0%)"
"sun.nio.fs.NativeBuffer[]","32 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$49.2084663827","16 B (0%)","1 (0%)"
"org.QTS.app.request.GoRequest$EzyObjectWriter$EzyAutoImpl$107","16 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.SecureClassLoaderRepository","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.EzyBootstrap","24 B (0%)","1 (0%)"
"java.lang.ProcessEnvironment$EntryComparator","16 B (0%)","1 (0%)"
"FriendRequestController$Rpc_Friend$Handler$AutoImpl$85","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.bean.supplier.EzyConcurrentHashMapSupplier","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$257.1179963849","16 B (0%)","1 (0%)"
"org.QTS.app.response.GoResponse$EzyObjectUnwrapper$EzyAutoImpl$61","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.reflect.EzyClass$$Lambda$110.224100622","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.reader.EzyPrimitiveFloatArrayReader","16 B (0%)","1 (0%)"
"org.QTS.app.request.GoRequest$EzyObjectWriter$EzyAutoImpl$41","16 B (0%)","1 (0%)"
"org.QTS.common.models.ChanelInfoModel$EzyObjectWriter$EzyAutoImpl$81","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleValueConverter$$Lambda$163.798310141","16 B (0%)","1 (0%)"
"ch.qos.logback.core.joran.action.AppenderAction","32 B (0%)","1 (0%)"
"org.QTS.app.request.GoRequest$EzyObjectWriter$EzyAutoImpl$118","16 B (0%)","1 (0%)"
"sun.nio.cs.ThreadLocalCoders$1","24 B (0%)","1 (0%)"
"sun.nio.cs.ThreadLocalCoders$2","24 B (0%)","1 (0%)"
"ch.qos.logback.core.joran.action.NestedComplexPropertyIA","32 B (0%)","1 (0%)"
"org.QTS.app.response.GoResponse$EzyObjectUnwrapper$EzyAutoImpl$91","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$134.201719260","16 B (0%)","1 (0%)"
"org.QTS.app.request.GoRequest$EzyObjectWriter$EzyAutoImpl$52","16 B (0%)","1 (0%)"
"org.QTS.common.models.ChanelInfoModel$EzyObjectWriter$EzyAutoImpl$70","16 B (0%)","1 (0%)"
"sun.nio.fs.WindowsChannelFactory$1","16 B (0%)","1 (0%)"
"org.QTS.common.models.AllPlayersInfo$EzyObjectReader$EzyAutoImpl$94","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$282.1136056244","16 B (0%)","1 (0%)"
"ch.qos.logback.classic.sift.SiftAction","32 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$295.494313423","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.creator.EzySimpleSessionCreator","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$37.898406901","16 B (0%)","1 (0%)"
"org.QTS.common.models.CharacterAppearanceModel$EzyObjectWriter$EzyAutoImpl$61","16 B (0%)","1 (0%)"
"org.QTS.common.models.NetworkCharacterModel$EzyObjectWriter$EzyAutoImpl$33","16 B (0%)","1 (0%)"
"com.google.gson.internal.reflect.ReflectionHelper$RecordNotSupportedHelper","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.reader.EzyBigDecimalReader","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.context.EzySimpleZoneContext","80 B (0%)","1 (0%)"
"sun.rmi.transport.proxy.RMIDirectSocketFactory","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$45.63001505","16 B (0%)","1 (0%)"
"org.QTS.common.models.AllRoomsInfo$EzyObjectUnwrapper$EzyAutoImpl$165","16 B (0%)","1 (0%)"
"org.QTS.app.response.GoResponse$EzyObjectReader$EzyAutoImpl$121","16 B (0%)","1 (0%)"
"org.QTS.app.handler.udpPlayerSpawnHandler$EzyObjectReader$EzyAutoImpl$78","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleCollectionConverter$$Lambda$375.538985881","16 B (0%)","1 (0%)"
"org.QTS.common.models.CharacterAppearanceModel$EzyObjectWriter$EzyAutoImpl$72","16 B (0%)","1 (0%)"
"org.QTS.common.models.ChanelInfoModel$EzyObjectWriter$EzyAutoImpl$92","16 B (0%)","1 (0%)"
"sun.launcher.LauncherHelper[]","24 B (0%)","1 (0%)"
"org.QTS.common.models.NetworkCharacterModel$EzyObjectWriter$EzyAutoImpl$44","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$303.2135648203","16 B (0%)","1 (0%)"
"sun.management.OperatingSystemImpl","24 B (0%)","1 (0%)"
"org.QTS.common.models.NetworkCharacterModel$EzyObjectUnwrapper$EzyAutoImpl$4","16 B (0%)","1 (0%)"
"java.lang.Long[]","1,040 B (0%)","1 (0%)"
"java.lang.invoke.LambdaFormEditor$Transform$Kind[]","72 B (0%)","1 (0%)"
"org.QTS.common.models.TransformModel$EzyObjectWriter$EzyAutoImpl$108","16 B (0%)","1 (0%)"
"org.QTS.app.handler.udpPlayerSpawnHandler$EzyObjectReader$EzyAutoImpl$63","16 B (0%)","1 (0%)"
"org.QTS.common.models.AllRoomsInfo$EzyObjectUnwrapper$EzyAutoImpl$150","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$361.657726252","16 B (0%)","1 (0%)"
"org.QTS.common.models.NetworkCharacterModel$EzyObjectWriter$EzyAutoImpl$11","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.nio.handler.EzySimpleNioUdpDataHandler","40 B (0%)","1 (0%)"
"java.lang.management.PlatformComponent$5","16 B (0%)","1 (0%)"
